This file contains the bin integrated opacities at each layer center 
Opacity given in [cm^2 g^-1].
bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   opac_lay[0]   opac_lay[1]   opac_lay[2]   opac_lay[3]   opac_lay[4]   opac_lay[5]   opac_lay[6]   opac_lay[7]   opac_lay[8]   opac_lay[9]   opac_lay[10]   opac_lay[11]   opac_lay[12]   opac_lay[13]   opac_lay[14]   opac_lay[15]   opac_lay[16]   opac_lay[17]   opac_lay[18]   opac_lay[19]   opac_lay[20]   opac_lay[21]   opac_lay[22]   opac_lay[23]   opac_lay[24]   opac_lay[25]   opac_lay[26]   opac_lay[27]   opac_lay[28]   opac_lay[29]   opac_lay[30]   opac_lay[31]   opac_lay[32]   opac_lay[33]   opac_lay[34]   opac_lay[35]   opac_lay[36]   opac_lay[37]   opac_lay[38]   opac_lay[39]   opac_lay[40]   opac_lay[41]   opac_lay[42]   opac_lay[43]   opac_lay[44]   opac_lay[45]   opac_lay[46]   opac_lay[47]   opac_lay[48]   opac_lay[49]   opac_lay[50]   opac_lay[51]   opac_lay[52]   opac_lay[53]   opac_lay[54]   opac_lay[55]   opac_lay[56]   opac_lay[57]   opac_lay[58]   opac_lay[59]   opac_lay[60]   opac_lay[61]   opac_lay[62]   opac_lay[63]   opac_lay[64]   opac_lay[65]   opac_lay[66]   opac_lay[67]   opac_lay[68]   opac_lay[69]   opac_lay[70]   opac_lay[71]   opac_lay[72]   opac_lay[73]   opac_lay[74]   opac_lay[75]   opac_lay[76]   opac_lay[77]   opac_lay[78]   opac_lay[79]   opac_lay[80]   opac_lay[81]   opac_lay[82]   opac_lay[83]   opac_lay[84]   opac_lay[85]   opac_lay[86]   opac_lay[87]   opac_lay[88]   opac_lay[89]   opac_lay[90]   opac_lay[91]   opac_lay[92]   opac_lay[93]   opac_lay[94]   opac_lay[95]   
30      2.40409918        2.20333366           0.441786153        0.021706       0.0201998      0.0187974      0.0174916      0.0162781      0.0151464      0.0140963      0.013117       0.0122066      0.0113592      0.0105701      0.00983682     0.00915299     0.00851831     0.00792657     0.00737638     0.00686435     0.00638741     0.00594436     0.00553116     0.00514757     0.00479002     0.0044575      0.00414811     0.00385986     0.00359216     0.00334248     0.00311065     0.00289461     0.00269364     0.0025067      0.00233248     0.00217073     0.00201987     0.00187975     0.00174921     0.00162775     0.00151479     0.0014095      0.00131176     0.00122061     0.00113592     0.00105705     0.000983637    0.000915384    0.00085175     0.000792693    0.000737613    0.000686432    0.000638772    0.000594405    0.000553164    0.000514705    0.000479021    0.000445739    0.000414807    0.000386009    0.000359194    0.000334276    0.000311036    0.00028947     0.00026936     0.000250665    0.000233264    0.000217059    0.000202002    0.000187959    0.000174925    0.000162774    0.000151476    0.000140961    0.000131167    0.000122069    0.000113584    0.000105707    9.83645e-05    9.15357e-05    8.51826e-05    7.92631e-05    7.37658e-05    6.86389e-05    6.3878e-05     5.94416e-05    5.53144e-05    5.14757e-05    4.7898e-05     4.45764e-05    4.14785e-05    3.86011e-05    3.59205e-05    3.34262e-05    3.11066e-05    2.89444e-05    2.69374e-05    2.50655e-05    2.33265e-05    
31      2.88614044        2.64511981           0.530367836        0.021706       0.0201998      0.0187974      0.0174916      0.0162781      0.0151464      0.0140963      0.013117       0.0122066      0.0113592      0.0105701      0.00983682     0.00915299     0.00851831     0.00792657     0.00737638     0.00686435     0.00638741     0.00594436     0.00553116     0.00514757     0.00479002     0.0044575      0.00414811     0.00385986     0.00359216     0.00334248     0.00311065     0.00289461     0.00269364     0.0025067      0.00233248     0.00217073     0.00201987     0.00187975     0.00174921     0.00162775     0.00151479     0.0014095      0.00131176     0.00122061     0.00113592     0.00105705     0.000983637    0.000915384    0.00085175     0.000792693    0.000737613    0.000686432    0.000638772    0.000594405    0.000553164    0.000514705    0.000479021    0.000445739    0.000414807    0.000386009    0.000359194    0.000334276    0.000311036    0.00028947     0.00026936     0.000250665    0.000233264    0.000217059    0.000202002    0.000187959    0.000174925    0.000162774    0.000151476    0.000140961    0.000131167    0.000122069    0.000113584    0.000105707    9.83645e-05    9.15357e-05    8.51826e-05    7.92631e-05    7.37658e-05    6.86389e-05    6.3878e-05     5.94416e-05    5.53144e-05    5.14757e-05    4.7898e-05     4.45764e-05    4.14785e-05    3.86011e-05    3.59205e-05    3.34262e-05    3.11066e-05    2.89444e-05    2.69374e-05    2.50655e-05    2.33265e-05    
32      3.46483486        3.17548765           0.636710861        0.021706       0.0201998      0.0187974      0.0174916      0.0162781      0.0151464      0.0140963      0.013117       0.0122066      0.0113592      0.0105701      0.00983682     0.00915299     0.00851831     0.00792657     0.00737638     0.00686435     0.00638741     0.00594436     0.00553116     0.00514757     0.00479002     0.0044575      0.00414811     0.00385986     0.00359216     0.00334248     0.00311065     0.00289461     0.00269364     0.0025067      0.00233248     0.00217073     0.00201987     0.00187975     0.00174921     0.00162775     0.00151479     0.0014095      0.00131176     0.00122061     0.00113592     0.00105705     0.000983637    0.000915384    0.00085175     0.000792693    0.000737613    0.000686432    0.000638772    0.000594405    0.000553164    0.000514705    0.000479021    0.000445739    0.000414807    0.000386009    0.000359194    0.000334276    0.000311036    0.00028947     0.00026936     0.000250665    0.000233264    0.000217059    0.000202002    0.000187959    0.000174925    0.000162774    0.000151476    0.000140961    0.000131167    0.000122069    0.000113584    0.000105707    9.83645e-05    9.15357e-05    8.51826e-05    7.92631e-05    7.37658e-05    6.86389e-05    6.3878e-05     5.94416e-05    5.53144e-05    5.14757e-05    4.7898e-05     4.45764e-05    4.14785e-05    3.86011e-05    3.59205e-05    3.34262e-05    3.11066e-05    2.89444e-05    2.69374e-05    2.50655e-05    2.33265e-05    
33      4.15956216        3.81219851           0.764376519        0.021706       0.0201998      0.0187974      0.0174916      0.0162781      0.0151464      0.0140963      0.013117       0.0122066      0.0113592      0.0105701      0.00983682     0.00915299     0.00851831     0.00792657     0.00737638     0.00686435     0.00638741     0.00594436     0.00553116     0.00514757     0.00479002     0.0044575      0.00414811     0.00385986     0.00359216     0.00334248     0.00311065     0.00289461     0.00269364     0.0025067      0.00233248     0.00217073     0.00201987     0.00187975     0.00174921     0.00162775     0.00151479     0.0014095      0.00131176     0.00122061     0.00113592     0.00105705     0.000983637    0.000915384    0.00085175     0.000792693    0.000737613    0.000686432    0.000638772    0.000594405    0.000553164    0.000514705    0.000479021    0.000445739    0.000414807    0.000386009    0.000359194    0.000334276    0.000311036    0.00028947     0.00026936     0.000250665    0.000233264    0.000217059    0.000202002    0.000187959    0.000174925    0.000162774    0.000151476    0.000140961    0.000131167    0.000122069    0.000113584    0.000105707    9.83645e-05    9.15357e-05    8.51826e-05    7.92631e-05    7.37658e-05    6.86389e-05    6.3878e-05     5.94416e-05    5.53144e-05    5.14757e-05    4.7898e-05     4.45764e-05    4.14785e-05    3.86011e-05    3.59205e-05    3.34262e-05    3.11066e-05    2.89444e-05    2.69374e-05    2.50655e-05    2.33265e-05    
34      4.99358789        4.57657503           0.91764017         0.021706       0.0201998      0.0187974      0.0174916      0.0162781      0.0151464      0.0140963      0.013117       0.0122066      0.0113592      0.0105701      0.00983682     0.00915299     0.00851831     0.00792657     0.00737638     0.00686435     0.00638741     0.00594436     0.00553116     0.00514757     0.00479002     0.0044575      0.00414811     0.00385986     0.00359216     0.00334248     0.00311065     0.00289461     0.00269364     0.0025067      0.00233248     0.00217073     0.00201987     0.00187975     0.00174921     0.00162775     0.00151479     0.0014095      0.00131176     0.00122061     0.00113592     0.00105705     0.000983637    0.000915384    0.00085175     0.000792693    0.000737613    0.000686432    0.000638772    0.000594405    0.000553164    0.000514705    0.000479021    0.000445739    0.000414807    0.000386009    0.000359194    0.000334276    0.000311036    0.00028947     0.00026936     0.000250665    0.000233264    0.000217059    0.000202002    0.000187959    0.000174925    0.000162774    0.000151476    0.000140961    0.000131167    0.000122069    0.000113584    0.000105707    9.83645e-05    9.15357e-05    8.51826e-05    7.92631e-05    7.37658e-05    6.86389e-05    6.3878e-05     5.94416e-05    5.53144e-05    5.14757e-05    4.7898e-05     4.45764e-05    4.14785e-05    3.86011e-05    3.59205e-05    3.34262e-05    3.11066e-05    2.89444e-05    2.69374e-05    2.50655e-05    2.33265e-05    
35      5.9948425         5.4942152            1.10163442         0.021706       0.0201998      0.0187974      0.0174916      0.0162781      0.0151464      0.0140963      0.013117       0.0122066      0.0113592      0.0105701      0.00983682     0.00915299     0.00851831     0.00792657     0.00737638     0.00686435     0.00638741     0.00594436     0.00553116     0.00514757     0.00479002     0.0044575      0.00414811     0.00385986     0.00359216     0.00334248     0.00311065     0.00289461     0.00269364     0.0025067      0.00233248     0.00217073     0.00201987     0.00187975     0.00174921     0.00162775     0.00151479     0.0014095      0.00131176     0.00122061     0.00113592     0.00105705     0.000983637    0.000915384    0.00085175     0.000792693    0.000737613    0.000686432    0.000638772    0.000594405    0.000553164    0.000514705    0.000479021    0.000445739    0.000414807    0.000386009    0.000359194    0.000334276    0.000311036    0.00028947     0.00026936     0.000250665    0.000233264    0.000217059    0.000202002    0.000187959    0.000174925    0.000162774    0.000151476    0.000140961    0.000131167    0.000122069    0.000113584    0.000105707    9.83645e-05    9.15357e-05    8.51826e-05    7.92631e-05    7.37658e-05    6.86389e-05    6.3878e-05     5.94416e-05    5.53144e-05    5.14757e-05    4.7898e-05     4.45764e-05    4.14785e-05    3.86011e-05    3.59205e-05    3.34262e-05    3.11066e-05    2.89444e-05    2.69374e-05    2.50655e-05    2.33265e-05    
36      7.19685673        6.59584962           1.322521           0.021706       0.0201998      0.0187974      0.0174916      0.0162781      0.0151464      0.0140963      0.013117       0.0122066      0.0113592      0.0105701      0.00983682     0.00915299     0.00851831     0.00792657     0.00737638     0.00686435     0.00638741     0.00594436     0.00553116     0.00514757     0.00479002     0.0044575      0.00414811     0.00385986     0.00359216     0.00334248     0.00311065     0.00289461     0.00269364     0.0025067      0.00233248     0.00217073     0.00201987     0.00187975     0.00174921     0.00162775     0.00151479     0.0014095      0.00131176     0.00122061     0.00113592     0.00105705     0.000983637    0.000915384    0.00085175     0.000792693    0.000737613    0.000686432    0.000638772    0.000594405    0.000553164    0.000514705    0.000479021    0.000445739    0.000414807    0.000386009    0.000359194    0.000334276    0.000311036    0.00028947     0.00026936     0.000250665    0.000233264    0.000217059    0.000202002    0.000187959    0.000174925    0.000162774    0.000151476    0.000140961    0.000131167    0.000122069    0.000113584    0.000105707    9.83645e-05    9.15357e-05    8.51826e-05    7.92631e-05    7.37658e-05    6.86389e-05    6.3878e-05     5.94416e-05    5.53144e-05    5.14757e-05    4.7898e-05     4.45764e-05    4.14785e-05    3.86011e-05    3.59205e-05    3.34262e-05    3.11066e-05    2.89444e-05    2.69374e-05    2.50655e-05    2.33265e-05    
37      8.63988449        7.91837061           1.58769711         0.021706       0.0201998      0.0187974      0.0174916      0.0162781      0.0151464      0.0140963      0.013117       0.0122066      0.0113592      0.0105701      0.00983682     0.00915299     0.00851831     0.00792657     0.00737638     0.00686435     0.00638741     0.00594436     0.00553116     0.00514757     0.00479002     0.0044575      0.00414811     0.00385986     0.00359216     0.00334248     0.00311065     0.00289461     0.00269364     0.0025067      0.00233248     0.00217073     0.00201987     0.00187975     0.00174921     0.00162775     0.00151479     0.0014095      0.00131176     0.00122061     0.00113592     0.00105705     0.000983637    0.000915384    0.00085175     0.000792693    0.000737613    0.000686432    0.000638772    0.000594405    0.000553164    0.000514705    0.000479021    0.000445739    0.000414807    0.000386009    0.000359194    0.000334276    0.000311036    0.00028947     0.00026936     0.000250665    0.000233264    0.000217059    0.000202002    0.000187959    0.000174925    0.000162774    0.000151476    0.000140961    0.000131167    0.000122069    0.000113584    0.000105707    9.83645e-05    9.15357e-05    8.51826e-05    7.92631e-05    7.37658e-05    6.86389e-05    6.3878e-05     5.94416e-05    5.53144e-05    5.14757e-05    4.7898e-05     4.45764e-05    4.14785e-05    3.86011e-05    3.59205e-05    3.34262e-05    3.11066e-05    2.89444e-05    2.69374e-05    2.50655e-05    2.33265e-05    
38      10.372251         9.50606772           1.90604318         0.021706       0.0201998      0.0187974      0.0174916      0.0162781      0.0151464      0.0140963      0.013117       0.0122066      0.0113592      0.0105701      0.00983682     0.00915299     0.00851831     0.00792657     0.00737638     0.00686435     0.00638741     0.00594436     0.00553116     0.00514757     0.00479002     0.0044575      0.00414811     0.00385986     0.00359216     0.00334248     0.00311065     0.00289461     0.00269364     0.0025067      0.00233248     0.00217073     0.00201987     0.00187975     0.00174921     0.00162775     0.00151479     0.0014095      0.00131176     0.00122061     0.00113592     0.00105705     0.000983637    0.000915384    0.00085175     0.000792693    0.000737613    0.000686432    0.000638772    0.000594405    0.000553164    0.000514705    0.000479021    0.000445739    0.000414807    0.000386009    0.000359194    0.000334276    0.000311036    0.00028947     0.00026936     0.000250665    0.000233264    0.000217059    0.000202002    0.000187959    0.000174925    0.000162774    0.000151476    0.000140961    0.000131167    0.000122069    0.000113584    0.000105707    9.83645e-05    9.15357e-05    8.51826e-05    7.92631e-05    7.37658e-05    6.86389e-05    6.3878e-05     5.94416e-05    5.53144e-05    5.14757e-05    4.7898e-05     4.45764e-05    4.14785e-05    3.86011e-05    3.59205e-05    3.34262e-05    3.11066e-05    2.89444e-05    2.69374e-05    2.50655e-05    2.33265e-05    
39      12.4519708        11.4121109           2.28822019         0.021706       0.0201998      0.0187974      0.0174916      0.0162781      0.0151464      0.0140963      0.013117       0.0122066      0.0113592      0.0105701      0.00983682     0.00915299     0.00851831     0.00792657     0.00737638     0.00686435     0.00638741     0.00594436     0.00553116     0.00514757     0.00479002     0.0044575      0.00414811     0.00385986     0.00359216     0.00334248     0.00311065     0.00289461     0.00269364     0.0025067      0.00233248     0.00217073     0.00201987     0.00187975     0.00174921     0.00162775     0.00151479     0.0014095      0.00131176     0.00122061     0.00113592     0.00105705     0.000983637    0.000915384    0.00085175     0.000792693    0.000737613    0.000686432    0.000638772    0.000594405    0.000553164    0.000514705    0.000479021    0.000445739    0.000414807    0.000386009    0.000359194    0.000334276    0.000311036    0.00028947     0.00026936     0.000250665    0.000233264    0.000217059    0.000202002    0.000187959    0.000174925    0.000162774    0.000151476    0.000140961    0.000131167    0.000122069    0.000113584    0.000105707    9.83645e-05    9.15357e-05    8.51826e-05    7.92631e-05    7.37658e-05    6.86389e-05    6.3878e-05     5.94416e-05    5.53144e-05    5.14757e-05    4.7898e-05     4.45764e-05    4.14785e-05    3.86011e-05    3.59205e-05    3.34262e-05    3.11066e-05    2.89444e-05    2.69374e-05    2.50655e-05    2.33265e-05    
40      14.9486913        13.7003311           2.74702678         0.021706       0.0201998      0.0187974      0.0174916      0.0162781      0.0151464      0.0140963      0.013117       0.0122066      0.0113592      0.0105701      0.00983682     0.00915299     0.00851831     0.00792657     0.00737638     0.00686435     0.00638741     0.00594436     0.00553116     0.00514757     0.00479002     0.0044575      0.00414811     0.00385986     0.00359216     0.00334248     0.00311065     0.00289461     0.00269364     0.0025067      0.00233248     0.00217073     0.00201987     0.00187975     0.00174921     0.00162775     0.00151479     0.0014095      0.00131176     0.00122061     0.00113592     0.00105705     0.000983637    0.000915384    0.00085175     0.000792693    0.000737613    0.000686432    0.000638772    0.000594405    0.000553164    0.000514705    0.000479021    0.000445739    0.000414807    0.000386009    0.000359194    0.000334276    0.000311036    0.00028947     0.00026936     0.000250665    0.000233264    0.000217059    0.000202002    0.000187959    0.000174925    0.000162774    0.000151476    0.000140961    0.000131167    0.000122069    0.000113584    0.000105707    9.83645e-05    9.15357e-05    8.51826e-05    7.92631e-05    7.37658e-05    6.86389e-05    6.3878e-05     5.94416e-05    5.53144e-05    5.14757e-05    4.7898e-05     4.45764e-05    4.14785e-05    3.86011e-05    3.59205e-05    3.34262e-05    3.11066e-05    2.89444e-05    2.69374e-05    2.50655e-05    2.33265e-05    
41      17.9460244        16.4473579           3.29782778         0.021706       0.0201998      0.0187974      0.0174916      0.0162781      0.0151464      0.0140963      0.013117       0.0122066      0.0113592      0.0105701      0.00983682     0.00915299     0.00851831     0.00792657     0.00737638     0.00686435     0.00638741     0.00594436     0.00553116     0.00514757     0.00479002     0.0044575      0.00414811     0.00385986     0.00359216     0.00334248     0.00311065     0.00289461     0.00269364     0.0025067      0.00233248     0.00217073     0.00201987     0.00187975     0.00174921     0.00162775     0.00151479     0.0014095      0.00131176     0.00122061     0.00113592     0.00105705     0.000983637    0.000915384    0.00085175     0.000792693    0.000737613    0.000686432    0.000638772    0.000594405    0.000553164    0.000514705    0.000479021    0.000445739    0.000414807    0.000386009    0.000359194    0.000334276    0.000311036    0.00028947     0.00026936     0.000250665    0.000233264    0.000217059    0.000202002    0.000187959    0.000174925    0.000162774    0.000151476    0.000140961    0.000131167    0.000122069    0.000113584    0.000105707    9.83645e-05    9.15357e-05    8.51826e-05    7.92631e-05    7.37658e-05    6.86389e-05    6.3878e-05     5.94416e-05    5.53144e-05    5.14757e-05    4.7898e-05     4.45764e-05    4.14785e-05    3.86011e-05    3.59205e-05    3.34262e-05    3.11066e-05    2.89444e-05    2.69374e-05    2.50655e-05    2.33265e-05    
42      21.5443469        19.7451857           3.95906882         0.021706       0.0201998      0.0187974      0.0174916      0.0162781      0.0151464      0.0140963      0.013117       0.0122066      0.0113592      0.0105701      0.00983682     0.00915299     0.00851831     0.00792657     0.00737638     0.00686435     0.00638741     0.00594436     0.00553116     0.00514757     0.00479002     0.0044575      0.00414811     0.00385986     0.00359216     0.00334248     0.00311065     0.00289461     0.00269364     0.0025067      0.00233248     0.00217073     0.00201987     0.00187975     0.00174921     0.00162775     0.00151479     0.0014095      0.00131176     0.00122061     0.00113592     0.00105705     0.000983637    0.000915384    0.00085175     0.000792693    0.000737613    0.000686432    0.000638772    0.000594405    0.000553164    0.000514705    0.000479021    0.000445739    0.000414807    0.000386009    0.000359194    0.000334276    0.000311036    0.00028947     0.00026936     0.000250665    0.000233264    0.000217059    0.000202002    0.000187959    0.000174925    0.000162774    0.000151476    0.000140961    0.000131167    0.000122069    0.000113584    0.000105707    9.83645e-05    9.15357e-05    8.51826e-05    7.92631e-05    7.37658e-05    6.86389e-05    6.3878e-05     5.94416e-05    5.53144e-05    5.14757e-05    4.7898e-05     4.45764e-05    4.14785e-05    3.86011e-05    3.59205e-05    3.34262e-05    3.11066e-05    2.89444e-05    2.69374e-05    2.50655e-05    2.33265e-05    
43      25.8641621        23.7042545           4.75289403         0.021706       0.0201998      0.0187974      0.0174916      0.0162781      0.0151464      0.0140963      0.013117       0.0122066      0.0113592      0.0105701      0.00983682     0.00915299     0.00851831     0.00792657     0.00737638     0.00686435     0.00638741     0.00594436     0.00553116     0.00514757     0.00479002     0.0044575      0.00414811     0.00385986     0.00359216     0.00334248     0.00311065     0.00289461     0.00269364     0.0025067      0.00233248     0.00217073     0.00201987     0.00187975     0.00174921     0.00162775     0.00151479     0.0014095      0.00131176     0.00122061     0.00113592     0.00105705     0.000983637    0.000915384    0.00085175     0.000792693    0.000737613    0.000686432    0.000638772    0.000594405    0.000553164    0.000514705    0.000479021    0.000445739    0.000414807    0.000386009    0.000359194    0.000334276    0.000311036    0.00028947     0.00026936     0.000250665    0.000233264    0.000217059    0.000202002    0.000187959    0.000174925    0.000162774    0.000151476    0.000140961    0.000131167    0.000122069    0.000113584    0.000105707    9.83645e-05    9.15357e-05    8.51826e-05    7.92631e-05    7.37658e-05    6.86389e-05    6.3878e-05     5.94416e-05    5.53144e-05    5.14757e-05    4.7898e-05     4.45764e-05    4.14785e-05    3.86011e-05    3.59205e-05    3.34262e-05    3.11066e-05    2.89444e-05    2.69374e-05    2.50655e-05    2.33265e-05    
44      31.050135         28.4571485           5.70588758         0.021706       0.0201998      0.0187974      0.0174916      0.0162781      0.0151464      0.0140963      0.013117       0.0122066      0.0113592      0.0105701      0.00983682     0.00915299     0.00851831     0.00792657     0.00737638     0.00686435     0.00638741     0.00594436     0.00553116     0.00514757     0.00479002     0.0044575      0.00414811     0.00385986     0.00359216     0.00334248     0.00311065     0.00289461     0.00269364     0.0025067      0.00233248     0.00217073     0.00201987     0.00187975     0.00174921     0.00162775     0.00151479     0.0014095      0.00131176     0.00122061     0.00113592     0.00105705     0.000983637    0.000915384    0.00085175     0.000792693    0.000737613    0.000686432    0.000638772    0.000594405    0.000553164    0.000514705    0.000479021    0.000445739    0.000414807    0.000386009    0.000359194    0.000334276    0.000311036    0.00028947     0.00026936     0.000250665    0.000233264    0.000217059    0.000202002    0.000187959    0.000174925    0.000162774    0.000151476    0.000140961    0.000131167    0.000122069    0.000113584    0.000105707    9.83645e-05    9.15357e-05    8.51826e-05    7.92631e-05    7.37658e-05    6.86389e-05    6.3878e-05     5.94416e-05    5.53144e-05    5.14757e-05    4.7898e-05     4.45764e-05    4.14785e-05    3.86011e-05    3.59205e-05    3.34262e-05    3.11066e-05    2.89444e-05    2.69374e-05    2.50655e-05    2.33265e-05    
45      37.2759372        34.1630361           6.84996401         0.021706       0.0201998      0.0187974      0.0174916      0.0162781      0.0151464      0.0140963      0.013117       0.0122066      0.0113592      0.0105701      0.00983682     0.00915299     0.00851831     0.00792657     0.00737638     0.00686435     0.00638741     0.00594436     0.00553116     0.00514757     0.00479002     0.0044575      0.00414811     0.00385986     0.00359216     0.00334248     0.00311065     0.00289461     0.00269364     0.0025067      0.00233248     0.00217073     0.00201987     0.00187975     0.00174921     0.00162775     0.00151479     0.0014095      0.00131176     0.00122061     0.00113592     0.00105705     0.000983637    0.000915384    0.00085175     0.000792693    0.000737613    0.000686432    0.000638772    0.000594405    0.000553164    0.000514705    0.000479021    0.000445739    0.000414807    0.000386009    0.000359194    0.000334276    0.000311036    0.00028947     0.00026936     0.000250665    0.000233264    0.000217059    0.000202002    0.000187959    0.000174925    0.000162774    0.000151476    0.000140961    0.000131167    0.000122069    0.000113584    0.000105707    9.83645e-05    9.15357e-05    8.51826e-05    7.92631e-05    7.37658e-05    6.86389e-05    6.3878e-05     5.94416e-05    5.53144e-05    5.14757e-05    4.7898e-05     4.45764e-05    4.14785e-05    3.86011e-05    3.59205e-05    3.34262e-05    3.11066e-05    2.89444e-05    2.69374e-05    2.50655e-05    2.33265e-05    
46      44.750063         41.0130001           8.22343699         0.021706       0.0201998      0.0187974      0.0174916      0.0162781      0.0151464      0.0140963      0.013117       0.0122066      0.0113592      0.0105701      0.00983682     0.00915299     0.00851831     0.00792657     0.00737638     0.00686435     0.00638741     0.00594436     0.00553116     0.00514757     0.00479002     0.0044575      0.00414811     0.00385986     0.00359216     0.00334248     0.00311065     0.00289461     0.00269364     0.0025067      0.00233248     0.00217073     0.00201987     0.00187975     0.00174921     0.00162775     0.00151479     0.0014095      0.00131176     0.00122061     0.00113592     0.00105705     0.000983637    0.000915384    0.00085175     0.000792693    0.000737613    0.000686432    0.000638772    0.000594405    0.000553164    0.000514705    0.000479021    0.000445739    0.000414807    0.000386009    0.000359194    0.000334276    0.000311036    0.00028947     0.00026936     0.000250665    0.000233264    0.000217059    0.000202002    0.000187959    0.000174925    0.000162774    0.000151476    0.000140961    0.000131167    0.000122069    0.000113584    0.000105707    9.83645e-05    9.15357e-05    8.51826e-05    7.92631e-05    7.37658e-05    6.86389e-05    6.3878e-05     5.94416e-05    5.53144e-05    5.14757e-05    4.7898e-05     4.45764e-05    4.14785e-05    3.86011e-05    3.59205e-05    3.34262e-05    3.11066e-05    2.89444e-05    2.69374e-05    2.50655e-05    2.33265e-05    
47      53.7228112        49.2364371           9.87230237         0.021706       0.0201998      0.0187974      0.0174916      0.0162781      0.0151464      0.0140963      0.013117       0.0122066      0.0113592      0.0105701      0.00983682     0.00915299     0.00851831     0.00792657     0.00737638     0.00686435     0.00638741     0.00594436     0.00553116     0.00514757     0.00479002     0.0044575      0.00414811     0.00385986     0.00359216     0.00334248     0.00311065     0.00289461     0.00269364     0.0025067      0.00233248     0.00217073     0.00201987     0.00187975     0.00174921     0.00162775     0.00151479     0.0014095      0.00131176     0.00122061     0.00113592     0.00105705     0.000983637    0.000915384    0.00085175     0.000792693    0.000737613    0.000686432    0.000638772    0.000594405    0.000553164    0.000514705    0.000479021    0.000445739    0.000414807    0.000386009    0.000359194    0.000334276    0.000311036    0.00028947     0.00026936     0.000250665    0.000233264    0.000217059    0.000202002    0.000187959    0.000174925    0.000162774    0.000151476    0.000140961    0.000131167    0.000122069    0.000113584    0.000105707    9.83645e-05    9.15357e-05    8.51826e-05    7.92631e-05    7.37658e-05    6.86389e-05    6.3878e-05     5.94416e-05    5.53144e-05    5.14757e-05    4.7898e-05     4.45764e-05    4.14785e-05    3.86011e-05    3.59205e-05    3.34262e-05    3.11066e-05    2.89444e-05    2.69374e-05    2.50655e-05    2.33265e-05    
48      64.4946677        59.1087394           11.8517785         0.021706       0.0201998      0.0187974      0.0174916      0.0162781      0.0151464      0.0140963      0.013117       0.0122066      0.0113592      0.0105701      0.00983682     0.00915299     0.00851831     0.00792657     0.00737638     0.00686435     0.00638741     0.00594436     0.00553116     0.00514757     0.00479002     0.0044575      0.00414811     0.00385986     0.00359216     0.00334248     0.00311065     0.00289461     0.00269364     0.0025067      0.00233248     0.00217073     0.00201987     0.00187975     0.00174921     0.00162775     0.00151479     0.0014095      0.00131176     0.00122061     0.00113592     0.00105705     0.000983637    0.000915384    0.00085175     0.000792693    0.000737613    0.000686432    0.000638772    0.000594405    0.000553164    0.000514705    0.000479021    0.000445739    0.000414807    0.000386009    0.000359194    0.000334276    0.000311036    0.00028947     0.00026936     0.000250665    0.000233264    0.000217059    0.000202002    0.000187959    0.000174925    0.000162774    0.000151476    0.000140961    0.000131167    0.000122069    0.000113584    0.000105707    9.83645e-05    9.15357e-05    8.51826e-05    7.92631e-05    7.37658e-05    6.86389e-05    6.3878e-05     5.94416e-05    5.53144e-05    5.14757e-05    4.7898e-05     4.45764e-05    4.14785e-05    3.86011e-05    3.59205e-05    3.34262e-05    3.11066e-05    2.89444e-05    2.69374e-05    2.50655e-05    2.33265e-05    
49      77.4263683        70.960518            14.2281556         0.021706       0.0201998      0.0187974      0.0174916      0.0162781      0.0151464      0.0140963      0.013117       0.0122066      0.0113592      0.0105701      0.00983682     0.00915299     0.00851831     0.00792657     0.00737638     0.00686435     0.00638741     0.00594436     0.00553116     0.00514757     0.00479002     0.0044575      0.00414811     0.00385986     0.00359216     0.00334248     0.00311065     0.00289461     0.00269364     0.0025067      0.00233248     0.00217073     0.00201987     0.00187975     0.00174921     0.00162775     0.00151479     0.0014095      0.00131176     0.00122061     0.00113592     0.00105705     0.000983637    0.000915384    0.00085175     0.000792693    0.000737613    0.000686432    0.000638772    0.000594405    0.000553164    0.000514705    0.000479021    0.000445739    0.000414807    0.000386009    0.000359194    0.000334276    0.000311036    0.00028947     0.00026936     0.000250665    0.000233264    0.000217059    0.000202002    0.000187959    0.000174925    0.000162774    0.000151476    0.000140961    0.000131167    0.000122069    0.000113584    0.000105707    9.83645e-05    9.15357e-05    8.51826e-05    7.92631e-05    7.37658e-05    6.86389e-05    6.3878e-05     5.94416e-05    5.53144e-05    5.14757e-05    4.7898e-05     4.45764e-05    4.14785e-05    3.86011e-05    3.59205e-05    3.34262e-05    3.11066e-05    2.89444e-05    2.69374e-05    2.50655e-05    2.33265e-05    
