This file contains the optical depth for each layer and waveband.
bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   delta_tau_lay[0]   delta_tau_lay[1]   delta_tau_lay[2]   delta_tau_lay[3]   delta_tau_lay[4]   delta_tau_lay[5]   delta_tau_lay[6]   delta_tau_lay[7]   delta_tau_lay[8]   delta_tau_lay[9]   delta_tau_lay[10]   delta_tau_lay[11]   delta_tau_lay[12]   delta_tau_lay[13]   delta_tau_lay[14]   delta_tau_lay[15]   delta_tau_lay[16]   delta_tau_lay[17]   delta_tau_lay[18]   delta_tau_lay[19]   delta_tau_lay[20]   delta_tau_lay[21]   delta_tau_lay[22]   delta_tau_lay[23]   delta_tau_lay[24]   delta_tau_lay[25]   delta_tau_lay[26]   delta_tau_lay[27]   delta_tau_lay[28]   delta_tau_lay[29]   delta_tau_lay[30]   delta_tau_lay[31]   delta_tau_lay[32]   delta_tau_lay[33]   delta_tau_lay[34]   delta_tau_lay[35]   delta_tau_lay[36]   delta_tau_lay[37]   delta_tau_lay[38]   delta_tau_lay[39]   delta_tau_lay[40]   delta_tau_lay[41]   delta_tau_lay[42]   delta_tau_lay[43]   delta_tau_lay[44]   delta_tau_lay[45]   delta_tau_lay[46]   delta_tau_lay[47]   delta_tau_lay[48]   delta_tau_lay[49]   delta_tau_lay[50]   delta_tau_lay[51]   delta_tau_lay[52]   delta_tau_lay[53]   delta_tau_lay[54]   delta_tau_lay[55]   delta_tau_lay[56]   delta_tau_lay[57]   delta_tau_lay[58]   delta_tau_lay[59]   delta_tau_lay[60]   delta_tau_lay[61]   delta_tau_lay[62]   delta_tau_lay[63]   delta_tau_lay[64]   delta_tau_lay[65]   delta_tau_lay[66]   delta_tau_lay[67]   delta_tau_lay[68]   delta_tau_lay[69]   delta_tau_lay[70]   delta_tau_lay[71]   delta_tau_lay[72]   delta_tau_lay[73]   delta_tau_lay[74]   delta_tau_lay[75]   delta_tau_lay[76]   delta_tau_lay[77]   delta_tau_lay[78]   delta_tau_lay[79]   delta_tau_lay[80]   delta_tau_lay[81]   delta_tau_lay[82]   delta_tau_lay[83]   delta_tau_lay[84]   delta_tau_lay[85]   delta_tau_lay[86]   delta_tau_lay[87]   delta_tau_lay[88]   delta_tau_lay[89]   delta_tau_lay[90]   delta_tau_lay[91]   delta_tau_lay[92]   delta_tau_lay[93]   delta_tau_lay[94]   delta_tau_lay[95]   
48      64.4946677        59.1087394           11.8517785         19.3959             15.6306             12.5958             10.1498             8.17963             6.5908              5.31169             4.28018             3.44924             2.77957             2.23979             1.80503             1.45443             1.17215             0.944527            0.761154            0.613379            0.494258            0.398322            0.320956            0.258661            0.208433            0.167966            0.135357            0.109069            0.0878991           0.070827            0.0570795           0.0459959           0.0370654           0.0298697           0.0240684           0.019397            0.0156297           0.0125959           0.0101501           0.0081793           0.00659146          0.00531122          0.0042804           0.00344909          0.00277957          0.00223987          0.00180494          0.00145456          0.00117204          0.000944569         0.000761128         0.000613376         0.000494282         0.000398301         0.000320984         0.000258635         0.000208441         0.000167962         0.000135355         0.000109075         8.78939e-05         7.08327e-05         5.70741e-05         4.59974e-05         3.70649e-05         2.98692e-05         2.40701e-05         1.93957e-05         1.56309e-05         1.25948e-05         1.01504e-05         8.17928e-06         6.59131e-06         5.31164e-06         4.28009e-06         3.44933e-06         2.77937e-06         2.23991e-06         1.80496e-06         1.45452e-06         1.17214e-06         9.44496e-07         7.61175e-07         6.13337e-07         4.94288e-07         3.98309e-07         3.20972e-07         2.58661e-07         2.08424e-07         1.67971e-07         1.35348e-07         1.09076e-07         8.78965e-08         7.08297e-08         5.70798e-08         4.59932e-08         3.70667e-08         2.9868e-08          2.40701e-08         
49      77.4263683        70.960518            14.2281556         19.3959             15.6306             12.5958             10.1498             8.17963             6.5908              5.31169             4.28018             3.44924             2.77957             2.23979             1.80503             1.45443             1.17215             0.944527            0.761154            0.613379            0.494258            0.398322            0.320956            0.258661            0.208433            0.167966            0.135357            0.109069            0.0878991           0.070827            0.0570795           0.0459959           0.0370654           0.0298697           0.0240684           0.019397            0.0156297           0.0125959           0.0101501           0.0081793           0.00659146          0.00531122          0.0042804           0.00344909          0.00277957          0.00223987          0.00180494          0.00145456          0.00117204          0.000944569         0.000761128         0.000613376         0.000494282         0.000398301         0.000320984         0.000258635         0.000208441         0.000167962         0.000135355         0.000109075         8.78939e-05         7.08327e-05         5.70741e-05         4.59974e-05         3.70649e-05         2.98692e-05         2.40701e-05         1.93957e-05         1.56309e-05         1.25948e-05         1.01504e-05         8.17928e-06         6.59131e-06         5.31164e-06         4.28009e-06         3.44933e-06         2.77937e-06         2.23991e-06         1.80496e-06         1.45452e-06         1.17214e-06         9.44496e-07         7.61175e-07         6.13337e-07         4.94288e-07         3.98309e-07         3.20972e-07         2.58661e-07         2.08424e-07         1.67971e-07         1.35348e-07         1.09076e-07         8.78965e-08         7.08297e-08         5.70798e-08         4.59932e-08         3.70667e-08         2.9868e-08          2.40701e-08         
50      92.950979         85.1886736           17.0810155         19.3959             15.6306             12.5958             10.1498             8.17963             6.5908              5.31169             4.28018             3.44924             2.77957             2.23979             1.80503             1.45443             1.17215             0.944527            0.761154            0.613379            0.494258            0.398322            0.320956            0.258661            0.208433            0.167966            0.135357            0.109069            0.0878991           0.070827            0.0570795           0.0459959           0.0370654           0.0298697           0.0240684           0.019397            0.0156297           0.0125959           0.0101501           0.0081793           0.00659146          0.00531122          0.0042804           0.00344909          0.00277957          0.00223987          0.00180494          0.00145456          0.00117204          0.000944569         0.000761128         0.000613376         0.000494282         0.000398301         0.000320984         0.000258635         0.000208441         0.000167962         0.000135355         0.000109075         8.78939e-05         7.08327e-05         5.70741e-05         4.59974e-05         3.70649e-05         2.98692e-05         2.40701e-05         1.93957e-05         1.56309e-05         1.25948e-05         1.01504e-05         8.17928e-06         6.59131e-06         5.31164e-06         4.28009e-06         3.44933e-06         2.77937e-06         2.23991e-06         1.80496e-06         1.45452e-06         1.17214e-06         9.44496e-07         7.61175e-07         6.13337e-07         4.94288e-07         3.98309e-07         3.20972e-07         2.58661e-07         2.08424e-07         1.67971e-07         1.35348e-07         1.09076e-07         8.78965e-08         7.08297e-08         5.70798e-08         4.59932e-08         3.70667e-08         2.9868e-08          2.40701e-08         
51      111.588399        102.269689           20.5058967         19.3959             15.6306             12.5958             10.1498             8.17963             6.5908              5.31169             4.28018             3.44924             2.77957             2.23979             1.80503             1.45443             1.17215             0.944527            0.761154            0.613379            0.494258            0.398322            0.320956            0.258661            0.208433            0.167966            0.135357            0.109069            0.0878991           0.070827            0.0570795           0.0459959           0.0370654           0.0298697           0.0240684           0.019397            0.0156297           0.0125959           0.0101501           0.0081793           0.00659146          0.00531122          0.0042804           0.00344909          0.00277957          0.00223987          0.00180494          0.00145456          0.00117204          0.000944569         0.000761128         0.000613376         0.000494282         0.000398301         0.000320984         0.000258635         0.000208441         0.000167962         0.000135355         0.000109075         8.78939e-05         7.08327e-05         5.70741e-05         4.59974e-05         3.70649e-05         2.98692e-05         2.40701e-05         1.93957e-05         1.56309e-05         1.25948e-05         1.01504e-05         8.17928e-06         6.59131e-06         5.31164e-06         4.28009e-06         3.44933e-06         2.77937e-06         2.23991e-06         1.80496e-06         1.45452e-06         1.17214e-06         9.44496e-07         7.61175e-07         6.13337e-07         4.94288e-07         3.98309e-07         3.20972e-07         2.58661e-07         2.08424e-07         1.67971e-07         1.35348e-07         1.09076e-07         8.78965e-08         7.08297e-08         5.70798e-08         4.59932e-08         3.70667e-08         2.9868e-08          2.40701e-08         
52      133.962772        122.775586           24.6174943         19.3959             15.6306             12.5958             10.1498             8.17963             6.5908              5.31169             4.28018             3.44924             2.77957             2.23979             1.80503             1.45443             1.17215             0.944527            0.761154            0.613379            0.494258            0.398322            0.320956            0.258661            0.208433            0.167966            0.135357            0.109069            0.0878991           0.070827            0.0570795           0.0459959           0.0370654           0.0298697           0.0240684           0.019397            0.0156297           0.0125959           0.0101501           0.0081793           0.00659146          0.00531122          0.0042804           0.00344909          0.00277957          0.00223987          0.00180494          0.00145456          0.00117204          0.000944569         0.000761128         0.000613376         0.000494282         0.000398301         0.000320984         0.000258635         0.000208441         0.000167962         0.000135355         0.000109075         8.78939e-05         7.08327e-05         5.70741e-05         4.59974e-05         3.70649e-05         2.98692e-05         2.40701e-05         1.93957e-05         1.56309e-05         1.25948e-05         1.01504e-05         8.17928e-06         6.59131e-06         5.31164e-06         4.28009e-06         3.44933e-06         2.77937e-06         2.23991e-06         1.80496e-06         1.45452e-06         1.17214e-06         9.44496e-07         7.61175e-07         6.13337e-07         4.94288e-07         3.98309e-07         3.20972e-07         2.58661e-07         2.08424e-07         1.67971e-07         1.35348e-07         1.09076e-07         8.78965e-08         7.08297e-08         5.70798e-08         4.59932e-08         3.70667e-08         2.9868e-08          2.40701e-08         
53      160.823388        147.39308            29.5535002         19.3959             15.6306             12.5958             10.1498             8.17963             6.5908              5.31169             4.28018             3.44924             2.77957             2.23979             1.80503             1.45443             1.17215             0.944527            0.761154            0.613379            0.494258            0.398322            0.320956            0.258661            0.208433            0.167966            0.135357            0.109069            0.0878991           0.070827            0.0570795           0.0459959           0.0370654           0.0298697           0.0240684           0.019397            0.0156297           0.0125959           0.0101501           0.0081793           0.00659146          0.00531122          0.0042804           0.00344909          0.00277957          0.00223987          0.00180494          0.00145456          0.00117204          0.000944569         0.000761128         0.000613376         0.000494282         0.000398301         0.000320984         0.000258635         0.000208441         0.000167962         0.000135355         0.000109075         8.78939e-05         7.08327e-05         5.70741e-05         4.59974e-05         3.70649e-05         2.98692e-05         2.40701e-05         1.93957e-05         1.56309e-05         1.25948e-05         1.01504e-05         8.17928e-06         6.59131e-06         5.31164e-06         4.28009e-06         3.44933e-06         2.77937e-06         2.23991e-06         1.80496e-06         1.45452e-06         1.17214e-06         9.44496e-07         7.61175e-07         6.13337e-07         4.94288e-07         3.98309e-07         3.20972e-07         2.58661e-07         2.08424e-07         1.67971e-07         1.35348e-07         1.09076e-07         8.78965e-08         7.08297e-08         5.70798e-08         4.59932e-08         3.70667e-08         2.9868e-08          2.40701e-08         
54      193.069773        176.94658            35.4792151         19.3959             15.6306             12.5958             10.1498             8.17963             6.5908              5.31169             4.28018             3.44924             2.77957             2.23979             1.80503             1.45443             1.17215             0.944527            0.761154            0.613379            0.494258            0.398322            0.320956            0.258661            0.208433            0.167966            0.135357            0.109069            0.0878991           0.070827            0.0570795           0.0459959           0.0370654           0.0298697           0.0240684           0.019397            0.0156297           0.0125959           0.0101501           0.0081793           0.00659146          0.00531122          0.0042804           0.00344909          0.00277957          0.00223987          0.00180494          0.00145456          0.00117204          0.000944569         0.000761128         0.000613376         0.000494282         0.000398301         0.000320984         0.000258635         0.000208441         0.000167962         0.000135355         0.000109075         8.78939e-05         7.08327e-05         5.70741e-05         4.59974e-05         3.70649e-05         2.98692e-05         2.40701e-05         1.93957e-05         1.56309e-05         1.25948e-05         1.01504e-05         8.17928e-06         6.59131e-06         5.31164e-06         4.28009e-06         3.44933e-06         2.77937e-06         2.23991e-06         1.80496e-06         1.45452e-06         1.17214e-06         9.44496e-07         7.61175e-07         6.13337e-07         4.94288e-07         3.98309e-07         3.20972e-07         2.58661e-07         2.08424e-07         1.67971e-07         1.35348e-07         1.09076e-07         8.78965e-08         7.08297e-08         5.70798e-08         4.59932e-08         3.70667e-08         2.9868e-08          2.40701e-08         
55      231.781818        212.425795           42.5930837         19.3959             15.6306             12.5958             10.1498             8.17963             6.5908              5.31169             4.28018             3.44924             2.77957             2.23979             1.80503             1.45443             1.17215             0.944527            0.761154            0.613379            0.494258            0.398322            0.320956            0.258661            0.208433            0.167966            0.135357            0.109069            0.0878991           0.070827            0.0570795           0.0459959           0.0370654           0.0298697           0.0240684           0.019397            0.0156297           0.0125959           0.0101501           0.0081793           0.00659146          0.00531122          0.0042804           0.00344909          0.00277957          0.00223987          0.00180494          0.00145456          0.00117204          0.000944569         0.000761128         0.000613376         0.000494282         0.000398301         0.000320984         0.000258635         0.000208441         0.000167962         0.000135355         0.000109075         8.78939e-05         7.08327e-05         5.70741e-05         4.59974e-05         3.70649e-05         2.98692e-05         2.40701e-05         1.93957e-05         1.56309e-05         1.25948e-05         1.01504e-05         8.17928e-06         6.59131e-06         5.31164e-06         4.28009e-06         3.44933e-06         2.77937e-06         2.23991e-06         1.80496e-06         1.45452e-06         1.17214e-06         9.44496e-07         7.61175e-07         6.13337e-07         4.94288e-07         3.98309e-07         3.20972e-07         2.58661e-07         2.08424e-07         1.67971e-07         1.35348e-07         1.09076e-07         8.78965e-08         7.08297e-08         5.70798e-08         4.59932e-08         3.70667e-08         2.9868e-08          2.40701e-08         
56      278.25594         255.018879           51.1333401         19.3959             15.6306             12.5958             10.1498             8.17963             6.5908              5.31169             4.28018             3.44924             2.77957             2.23979             1.80503             1.45443             1.17215             0.944527            0.761154            0.613379            0.494258            0.398322            0.320956            0.258661            0.208433            0.167966            0.135357            0.109069            0.0878991           0.070827            0.0570795           0.0459959           0.0370654           0.0298697           0.0240684           0.019397            0.0156297           0.0125959           0.0101501           0.0081793           0.00659146          0.00531122          0.0042804           0.00344909          0.00277957          0.00223987          0.00180494          0.00145456          0.00117204          0.000944569         0.000761128         0.000613376         0.000494282         0.000398301         0.000320984         0.000258635         0.000208441         0.000167962         0.000135355         0.000109075         8.78939e-05         7.08327e-05         5.70741e-05         4.59974e-05         3.70649e-05         2.98692e-05         2.40701e-05         1.93957e-05         1.56309e-05         1.25948e-05         1.01504e-05         8.17928e-06         6.59131e-06         5.31164e-06         4.28009e-06         3.44933e-06         2.77937e-06         2.23991e-06         1.80496e-06         1.45452e-06         1.17214e-06         9.44496e-07         7.61175e-07         6.13337e-07         4.94288e-07         3.98309e-07         3.20972e-07         2.58661e-07         2.08424e-07         1.67971e-07         1.35348e-07         1.09076e-07         8.78965e-08         7.08297e-08         5.70798e-08         4.59932e-08         3.70667e-08         2.9868e-08          2.40701e-08         
57      334.048498        306.152219           61.3859869         19.3959             15.6306             12.5958             10.1498             8.17963             6.5908              5.31169             4.28018             3.44924             2.77957             2.23979             1.80503             1.45443             1.17215             0.944527            0.761154            0.613379            0.494258            0.398322            0.320956            0.258661            0.208433            0.167966            0.135357            0.109069            0.0878991           0.070827            0.0570795           0.0459959           0.0370654           0.0298697           0.0240684           0.019397            0.0156297           0.0125959           0.0101501           0.0081793           0.00659146          0.00531122          0.0042804           0.00344909          0.00277957          0.00223987          0.00180494          0.00145456          0.00117204          0.000944569         0.000761128         0.000613376         0.000494282         0.000398301         0.000320984         0.000258635         0.000208441         0.000167962         0.000135355         0.000109075         8.78939e-05         7.08327e-05         5.70741e-05         4.59974e-05         3.70649e-05         2.98692e-05         2.40701e-05         1.93957e-05         1.56309e-05         1.25948e-05         1.01504e-05         8.17928e-06         6.59131e-06         5.31164e-06         4.28009e-06         3.44933e-06         2.77937e-06         2.23991e-06         1.80496e-06         1.45452e-06         1.17214e-06         9.44496e-07         7.61175e-07         6.13337e-07         4.94288e-07         3.98309e-07         3.20972e-07         2.58661e-07         2.08424e-07         1.67971e-07         1.35348e-07         1.09076e-07         8.78965e-08         7.08297e-08         5.70798e-08         4.59932e-08         3.70667e-08         2.9868e-08          2.40701e-08         
58      401.027914        367.538206           73.6943719         19.3959             15.6306             12.5958             10.1498             8.17963             6.5908              5.31169             4.28018             3.44924             2.77957             2.23979             1.80503             1.45443             1.17215             0.944527            0.761154            0.613379            0.494258            0.398322            0.320956            0.258661            0.208433            0.167966            0.135357            0.109069            0.0878991           0.070827            0.0570795           0.0459959           0.0370654           0.0298697           0.0240684           0.019397            0.0156297           0.0125959           0.0101501           0.0081793           0.00659146          0.00531122          0.0042804           0.00344909          0.00277957          0.00223987          0.00180494          0.00145456          0.00117204          0.000944569         0.000761128         0.000613376         0.000494282         0.000398301         0.000320984         0.000258635         0.000208441         0.000167962         0.000135355         0.000109075         8.78939e-05         7.08327e-05         5.70741e-05         4.59974e-05         3.70649e-05         2.98692e-05         2.40701e-05         1.93957e-05         1.56309e-05         1.25948e-05         1.01504e-05         8.17928e-06         6.59131e-06         5.31164e-06         4.28009e-06         3.44933e-06         2.77937e-06         2.23991e-06         1.80496e-06         1.45452e-06         1.17214e-06         9.44496e-07         7.61175e-07         6.13337e-07         4.94288e-07         3.98309e-07         3.20972e-07         2.58661e-07         2.08424e-07         1.67971e-07         1.35348e-07         1.09076e-07         8.78965e-08         7.08297e-08         5.70798e-08         4.59932e-08         3.70667e-08         2.9868e-08          2.40701e-08         
59      481.437242        441.232578           88.4706872         19.3959             15.6306             12.5958             10.1498             8.17963             6.5908              5.31169             4.28018             3.44924             2.77957             2.23979             1.80503             1.45443             1.17215             0.944527            0.761154            0.613379            0.494258            0.398322            0.320956            0.258661            0.208433            0.167966            0.135357            0.109069            0.0878991           0.070827            0.0570795           0.0459959           0.0370654           0.0298697           0.0240684           0.019397            0.0156297           0.0125959           0.0101501           0.0081793           0.00659146          0.00531122          0.0042804           0.00344909          0.00277957          0.00223987          0.00180494          0.00145456          0.00117204          0.000944569         0.000761128         0.000613376         0.000494282         0.000398301         0.000320984         0.000258635         0.000208441         0.000167962         0.000135355         0.000109075         8.78939e-05         7.08327e-05         5.70741e-05         4.59974e-05         3.70649e-05         2.98692e-05         2.40701e-05         1.93957e-05         1.56309e-05         1.25948e-05         1.01504e-05         8.17928e-06         6.59131e-06         5.31164e-06         4.28009e-06         3.44933e-06         2.77937e-06         2.23991e-06         1.80496e-06         1.45452e-06         1.17214e-06         9.44496e-07         7.61175e-07         6.13337e-07         4.94288e-07         3.98309e-07         3.20972e-07         2.58661e-07         2.08424e-07         1.67971e-07         1.35348e-07         1.09076e-07         8.78965e-08         7.08297e-08         5.70798e-08         4.59932e-08         3.70667e-08         2.9868e-08          2.40701e-08         
60      577.969288        529.703265           106.209773         19.3959             15.6306             12.5958             10.1498             8.17963             6.5908              5.31169             4.28018             3.44924             2.77957             2.23979             1.80503             1.45443             1.17215             0.944527            0.761154            0.613379            0.494258            0.398322            0.320956            0.258661            0.208433            0.167966            0.135357            0.109069            0.0878991           0.070827            0.0570795           0.0459959           0.0370654           0.0298697           0.0240684           0.019397            0.0156297           0.0125959           0.0101501           0.0081793           0.00659146          0.00531122          0.0042804           0.00344909          0.00277957          0.00223987          0.00180494          0.00145456          0.00117204          0.000944569         0.000761128         0.000613376         0.000494282         0.000398301         0.000320984         0.000258635         0.000208441         0.000167962         0.000135355         0.000109075         8.78939e-05         7.08327e-05         5.70741e-05         4.59974e-05         3.70649e-05         2.98692e-05         2.40701e-05         1.93957e-05         1.56309e-05         1.25948e-05         1.01504e-05         8.17928e-06         6.59131e-06         5.31164e-06         4.28009e-06         3.44933e-06         2.77937e-06         2.23991e-06         1.80496e-06         1.45452e-06         1.17214e-06         9.44496e-07         7.61175e-07         6.13337e-07         4.94288e-07         3.98309e-07         3.20972e-07         2.58661e-07         2.08424e-07         1.67971e-07         1.35348e-07         1.09076e-07         8.78965e-08         7.08297e-08         5.70798e-08         4.59932e-08         3.70667e-08         2.9868e-08          2.40701e-08         
61      693.856788        635.913038           127.505688         19.3959             15.6306             12.5958             10.1498             8.17963             6.5908              5.31169             4.28018             3.44924             2.77957             2.23979             1.80503             1.45443             1.17215             0.944527            0.761154            0.613379            0.494258            0.398322            0.320956            0.258661            0.208433            0.167966            0.135357            0.109069            0.0878991           0.070827            0.0570795           0.0459959           0.0370654           0.0298697           0.0240684           0.019397            0.0156297           0.0125959           0.0101501           0.0081793           0.00659146          0.00531122          0.0042804           0.00344909          0.00277957          0.00223987          0.00180494          0.00145456          0.00117204          0.000944569         0.000761128         0.000613376         0.000494282         0.000398301         0.000320984         0.000258635         0.000208441         0.000167962         0.000135355         0.000109075         8.78939e-05         7.08327e-05         5.70741e-05         4.59974e-05         3.70649e-05         2.98692e-05         2.40701e-05         1.93957e-05         1.56309e-05         1.25948e-05         1.01504e-05         8.17928e-06         6.59131e-06         5.31164e-06         4.28009e-06         3.44933e-06         2.77937e-06         2.23991e-06         1.80496e-06         1.45452e-06         1.17214e-06         9.44496e-07         7.61175e-07         6.13337e-07         4.94288e-07         3.98309e-07         3.20972e-07         2.58661e-07         2.08424e-07         1.67971e-07         1.35348e-07         1.09076e-07         8.78965e-08         7.08297e-08         5.70798e-08         4.59932e-08         3.70667e-08         2.9868e-08          2.40701e-08         
62      832.980665        763.418726           153.071606         19.3959             15.6306             12.5958             10.1498             8.17963             6.5908              5.31169             4.28018             3.44924             2.77957             2.23979             1.80503             1.45443             1.17215             0.944527            0.761154            0.613379            0.494258            0.398322            0.320956            0.258661            0.208433            0.167966            0.135357            0.109069            0.0878991           0.070827            0.0570795           0.0459959           0.0370654           0.0298697           0.0240684           0.019397            0.0156297           0.0125959           0.0101501           0.0081793           0.00659146          0.00531122          0.0042804           0.00344909          0.00277957          0.00223987          0.00180494          0.00145456          0.00117204          0.000944569         0.000761128         0.000613376         0.000494282         0.000398301         0.000320984         0.000258635         0.000208441         0.000167962         0.000135355         0.000109075         8.78939e-05         7.08327e-05         5.70741e-05         4.59974e-05         3.70649e-05         2.98692e-05         2.40701e-05         1.93957e-05         1.56309e-05         1.25948e-05         1.01504e-05         8.17928e-06         6.59131e-06         5.31164e-06         4.28009e-06         3.44933e-06         2.77937e-06         2.23991e-06         1.80496e-06         1.45452e-06         1.17214e-06         9.44496e-07         7.61175e-07         6.13337e-07         4.94288e-07         3.98309e-07         3.20972e-07         2.58661e-07         2.08424e-07         1.67971e-07         1.35348e-07         1.09076e-07         8.78965e-08         7.08297e-08         5.70798e-08         4.59932e-08         3.70667e-08         2.9868e-08          2.40701e-08         
63      1000              916.490332           167.019335         19.3959             15.6306             12.5958             10.1498             8.17963             6.5908              5.31169             4.28018             3.44924             2.77957             2.23979             1.80503             1.45443             1.17215             0.944527            0.761154            0.613379            0.494258            0.398322            0.320956            0.258661            0.208433            0.167966            0.135357            0.109069            0.0878991           0.070827            0.0570795           0.0459959           0.0370654           0.0298697           0.0240684           0.019397            0.0156297           0.0125959           0.0101501           0.0081793           0.00659146          0.00531122          0.0042804           0.00344909          0.00277957          0.00223987          0.00180494          0.00145456          0.00117204          0.000944569         0.000761128         0.000613376         0.000494282         0.000398301         0.000320984         0.000258635         0.000208441         0.000167962         0.000135355         0.000109075         8.78939e-05         7.08327e-05         5.70741e-05         4.59974e-05         3.70649e-05         2.98692e-05         2.40701e-05         1.93957e-05         1.56309e-05         1.25948e-05         1.01504e-05         8.17928e-06         6.59131e-06         5.31164e-06         4.28009e-06         3.44933e-06         2.77937e-06         2.23991e-06         1.80496e-06         1.45452e-06         1.17214e-06         9.44496e-07         7.61175e-07         6.13337e-07         4.94288e-07         3.98309e-07         3.20972e-07         2.58661e-07         2.08424e-07         1.67971e-07         1.35348e-07         1.09076e-07         8.78965e-08         7.08297e-08         5.70798e-08         4.59932e-08         3.70667e-08         2.9868e-08          2.40701e-08         
